"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10221","test_verify_disk_table_data","test_cases","Mon Nov 11 13:31:08 IST 2024","broken","Mon Nov 11 13:31:18 IST 2024","Test_Infrastructure","test_Infrastructure","",""
"","64","TC#1- Verifying cpu graph","test_cases","Mon Nov 11 14:56:52 IST 2024","broken","Mon Nov 11 14:56:52 IST 2024","Test_Infrastructure_Summary","test_Infrastructure_summary","",""
"","14883","test_infrastructure_for_validationofHosts","test_cases","Mon Nov 11 13:28:08 IST 2024","passed","Mon Nov 11 13:28:23 IST 2024","Test_Infrastructure","test_Infrastructure","",""
"","10914","test_logpartition_verifytabledata","test_cases","Mon Nov 11 15:25:02 IST 2024","broken","Mon Nov 11 15:25:13 IST 2024","Test_Logs_LogPartition","test_Logs_LogPartition","",""
"","5253","test_verify_alert_table_data","test_cases","Mon Nov 11 13:32:27 IST 2024","broken","Mon Nov 11 13:32:32 IST 2024","Test_Infrastructure_Storage","test_Infrastructure_alert","",""
"","118550","test_verify_network_graph_child1","test_cases","Mon Nov 11 14:48:19 IST 2024","passed","Mon Nov 11 14:50:17 IST 2024","Test_Infrastructure_Storage","test_Infrastructure_network","",""
"","25951","test_verify_processrunning_topcpu_table_data","test_cases","Mon Nov 11 13:31:22 IST 2024","passed","Mon Nov 11 13:31:48 IST 2024","Test_Infrastructure","test_Infrastructure","",""
"","10920","test_logpartition_delete_tablerow","test_cases","Mon Nov 11 15:25:16 IST 2024","broken","Mon Nov 11 15:25:26 IST 2024","Test_Logs_LogPartition","test_Logs_LogPartition","",""
"","12476","test_title_verification_for_settigspage","test_cases","Mon Nov 11 15:25:43 IST 2024","broken","Mon Nov 11 15:25:55 IST 2024","Test_Settins","test_Settings","",""
"","10314","test_verify_cpu_graph","test_cases","Mon Nov 11 13:29:30 IST 2024","broken","Mon Nov 11 13:29:40 IST 2024","Test_Infrastructure","test_Infrastructure","",""
"","25045","test_verify_memory_graph","test_cases","Mon Nov 11 13:30:14 IST 2024","passed","Mon Nov 11 13:30:39 IST 2024","Test_Infrastructure","test_Infrastructure","",""
"","11133","test_add_logpartition","test_cases","Mon Nov 11 15:24:47 IST 2024","broken","Mon Nov 11 15:24:58 IST 2024","Test_Logs_LogPartition","test_Logs_LogPartition","",""
"","257404","test_forgotpassword_email_invaliddetails","test_cases","Mon Nov 11 13:21:20 IST 2024","passed","Mon Nov 11 13:25:37 IST 2024","Test_ForgotPassword","test_Forgotpassword","",""
"","23168","test_verify_network_graph","test_cases","Mon Nov 11 13:30:41 IST 2024","passed","Mon Nov 11 13:31:04 IST 2024","Test_Infrastructure","test_Infrastructure","",""
