+----+-------+--------------------------------------------------------------------+-------+------------------------------+-------------+------------------+--------------------+-----------+-----------+-----------+-----------+----------+---------+-----+
|    | Color |                            Process Name                            |  Id   |             User             | Cpu Percent | Cpu User Percent | Cpu System Percent |           |           |           |           |          |         |     |
| 26 |       |                          smartscreen.exe                           | 72556 |      ZCS-SERVER\obulesu      |     0 %     |     38.33 %      |      61.67 %       | 14.25 MB  |  9.85 MB  |  0.15 MB  |  0.04 MB  |   448    |   130   | 10  |
| 27 |       |                            WmiPrvSE.exe                            | 70936 |  NT AUTHORITY\LOCAL SERVICE  |   0.16 %    |     20.29 %      |      79.71 %       | 17.97 MB  |  9.55 MB  |  2.42 MB  |   0 MB    |    6     |    0    |  7  |
| 28 |       |                             avpsus.exe                             | 5000  |     NT AUTHORITY\SYSTEM      |     0 %     |     63.56 %      |      36.44 %       |  2.71 MB  |  9.4 MB   | 115.96 MB |  1.19 MB  |  10453   |   581   | 11  |
| 29 |       |                            services.exe                            |  712  |     NT AUTHORITY\SYSTEM      |   0.14 %    |     39.33 %      |      60.67 %       |  8.56 MB  |  7.81 MB  |   0 MB    |   0 MB    |    3     |    1    |  5  |
| 30 |       |                            LogonUI.exe                             | 63844 |     NT AUTHORITY\SYSTEM      |     0 %     |      80.3 %      |       19.7 %       |  3.17 MB  |  7.29 MB  |   0 MB    |   0 MB    |    0     |    0    |  5  |
| 31 |       |                            conhost.exe                             | 36580 |     NT AUTHORITY\SYSTEM      |     0 %     |     50.67 %      |      49.33 %       |  0.91 MB  |  7.16 MB  |   0 MB    |   0 MB    |    0     |    0    |  4  |
| 32 |       |                             sihost.exe                             | 41324 |      ZCS-SERVER\obulesu      |     0 %     |     69.77 %      |      30.23 %       | 23.86 MB  |  6.16 MB  |   0 MB    |   0 MB    |    0     |    0    |  8  |
| 33 |       |                             httpd.exe                              | 3248  |     NT AUTHORITY\SYSTEM      |     0 %     |     37.87 %      |      62.13 %       |  1.79 MB  |  5.99 MB  |  0.17 MB  |   0 MB    |    55    |   41    | 67  |
| 34 |       |                          wazuh-agent.exe                           | 3276  |     NT AUTHORITY\SYSTEM      |   0.02 %    |     24.02 %      |      75.98 %       |  4.76 MB  |  5.1 MB   |  5.19 GB  | 893.29 MB | 2009548  | 2773282 |  7  |
| 35 |       |                            dllhost.exe                             | 72020 |      ZCS-SERVER\obulesu      |     0 %     |     37.84 %      |      62.16 %       |  2.04 MB  |  4.67 MB  |  4.27 MB  |  9.88 MB  |    58    |   204   |  5  |
| 36 |       |                         RuntimeBroker.exe                          | 70948 |      ZCS-SERVER\obulesu      |     0 %     |     67.48 %      |      32.52 %       |  2.31 MB  |  4.47 MB  |   0 MB    |   0 MB    |    1     |    0    |  3  |
| 37 |       |                           taskhostw.exe                            | 64368 |      ZCS-SERVER\obulesu      |     0 %     |     38.64 %      |      61.36 %       |  4.33 MB  |  4.4 MB   |  5.08 MB  | 10.89 MB  |    59    |  1148   |  4  |
| 38 |       |                             ctfmon.exe                             | 69992 |      ZCS-SERVER\obulesu      |     0 %     |     31.25 %      |      68.75 %       |  2.01 MB  |  3.86 MB  |   0 MB    |   0 MB    |    0     |    0    |  9  |
| 39 |       |                          fontdrvhost.exe                           | 32544 |   Font Driver Host\UMFD-7    |     0 %     |     64.71 %      |      35.29 %       |  0.65 MB  |  3.76 MB  |   0 MB    |   0 MB    |    0     |    0    |  5  |
| 40 |       |                            svchost.exe                             | 54048 |      ZCS-SERVER\obulesu      |     0 %     |     67.65 %      |      32.35 %       |  2.6 MB   |  3.49 MB  |  0.01 MB  |  0.33 MB  |    34    |   173   |  3  |
| 41 |       |                         VGAuthService.exe                          | 3196  |     NT AUTHORITY\SYSTEM      |     0 %     |     33.33 %      |      66.67 %       |  1.3 MB   |  3.33 MB  |  0.03 MB  |   0 MB    |    25    |   22    |  2  |
| 42 |       |                        TrustedInstaller.exe                        | 44980 |     NT AUTHORITY\SYSTEM      |   0.01 %    |     68.17 %      |      31.83 %       |  5.82 MB  |  3.17 MB  |   0 MB    |  0.04 MB  |    0     |   226   |  6  |
| 43 |       |                            rdpclip.exe                             | 47708 |      ZCS-SERVER\obulesu      |     0 %     |     17.65 %      |      82.35 %       |  2.02 MB  |  3.03 MB  |  0.08 MB  |  0.01 MB  |   228    |   554   |  5  |
| 44 |       |                            notepad.exe                             | 7516  |      ZCS-SERVER\zybisys      |     0 %     |     17.39 %      |      82.61 %       |  3.65 MB  |  2.93 MB  |   0 MB    |   0 MB    |    1     |    0    |  1  |
| 45 |       |                             msdtc.exe                              | 5208  | NT AUTHORITY\NETWORK SERVICE |     0 %     |       25 %       |        75 %        |  1.53 MB  |  2.91 MB  |   0 MB    |  0.2 MB   |    1     |    3    |  9  |
| 46 |       |                             csrss.exe                              | 52776 |     NT AUTHORITY\SYSTEM      |     0 %     |      2.48 %      |      97.52 %       |  1.2 MB   |  2.65 MB  |  0.96 MB  |   0 MB    |   9779   |    0    | 12  |
| 47 |       |                            winlogon.exe                            | 46476 |     NT AUTHORITY\SYSTEM      |     0 %     |     11.11 %      |      88.89 %       |  1.47 MB  |  2.55 MB  |  0.03 MB  |   0 MB    |    3     |    0    |  3  |
| 48 |       |                         MusNotifyIcon.exe                          | 10736 |      ZCS-SERVER\zybisys      |     0 %     |       0 %        |       100 %        |  4.5 MB   |  2.01 MB  |   0 MB    |   0 MB    |    0     |    0    |  2  |
| 49 |       |                              nssm.exe                              | 27128 |     NT AUTHORITY\SYSTEM      |     0 %     |       0 %        |       100 %        |  6.94 MB  |  1.94 MB  |   0 MB    |   0 MB    |    0     |    0    |  1  |
| 50 |       |                            wininit.exe                             |  572  |     NT AUTHORITY\SYSTEM      |   0.03 %    |     73.85 %      |      26.15 %       |  1.68 MB  |  1.77 MB  |  0.01 MB  |   0 MB    |    1     |    0    |  3  |
| 51 |       |                              Registry                              |  104  |     NT AUTHORITY\SYSTEM      |     0 %     |       0 %        |       100 %        | 159.66 MB |  0.6 MB   |   0 MB    |  1.89 GB  |    4     | 250034  |  4  |
| 52 |       |                              smss.exe                              |  380  |     NT AUTHORITY\SYSTEM      |     0 %     |      2.94 %      |      97.06 %       |  0.39 MB  |  0.56 MB  |  0.01 MB  |  0.14 MB  |    21    |   268   |  2  |
| 53 |       |                               System                               |   4   |     NT AUTHORITY\SYSTEM      |   2.92 %    |       0 %        |       100 %        |  0.1 MB   |  0.2 MB   | 360.99 MB |  6.92 GB  |  10714   | 263720  | 218 |
+----+-------+--------------------------------------------------------------------+-------+------------------------------+-------------+------------------+--------------------+-----------+-----------+-----------+-----------+----------+---------+-----+
