+----+-------+--------------------------------------------------------------------+-------+------------------------------+-------------+------------------+--------------------+-----------+-----------+-----------+-----------+----------+---------+-----+
|    | Color |                            Process Name                            |  Id   |             User             | Cpu Percent | Cpu User Percent | Cpu System Percent |           |           |           |           |          |         |     |
| 28 |       |                             sihost.exe                             | 41324 |      ZCS-SERVER\obulesu      |     0 %     |     69.79 %      |      30.21 %       | 23.86 MB  |  6.16 MB  |   0 MB    |   0 MB    |    0     |    0    |  8  |
| 29 |       |                            rdpclip.exe                             | 47708 |      ZCS-SERVER\obulesu      |     0 %     |     17.65 %      |      82.35 %       |  2.02 MB  |  3.03 MB  |  0.08 MB  |  0.01 MB  |   228    |   554   |  5  |
| 30 |       |                              nssm.exe                              | 27128 |     NT AUTHORITY\SYSTEM      |     0 %     |       0 %        |       100 %        |  6.94 MB  |  1.94 MB  |   0 MB    |   0 MB    |    0     |    0    |  1  |
| 31 |       |                            notepad.exe                             | 7516  |      ZCS-SERVER\zybisys      |     0 %     |     17.39 %      |      82.61 %       |  3.65 MB  |  2.93 MB  |   0 MB    |   0 MB    |    1     |    0    |  1  |
| 32 |       |                             msdtc.exe                              | 5208  | NT AUTHORITY\NETWORK SERVICE |     0 %     |       25 %       |        75 %        |  1.53 MB  |  2.91 MB  |   0 MB    |  0.2 MB   |    1     |    3    |  9  |
| 33 |       |                              mmc.exe                               | 42688 |      ZCS-SERVER\zybisys      |     0 %     |     47.06 %      |      52.94 %       | 54.37 MB  |  17.4 MB  |  0.56 MB  |  0.01 MB  |    71    |    4    | 11  |
| 34 |       |                            iexplore.exe                            | 57132 |       ZCS-SERVER\test        |     0 %     |     44.28 %      |      55.72 %       |  4.15 MB  |   29 MB   |  5.29 MB  |  5.33 MB  |   134    |   303   | 16  |
| 35 |       |                             httpd.exe                              | 3088  |     NT AUTHORITY\SYSTEM      |     0 %     |       40 %       |        60 %        |  1.27 MB  |  2.63 MB  |  0.17 MB  |   0 MB    |   239    |   14    |  4  |
| 36 |       |                          fontdrvhost.exe                           | 32544 |   Font Driver Host\UMFD-7    |     0 %     |     64.71 %      |      35.29 %       |  0.65 MB  |  3.76 MB  |   0 MB    |   0 MB    |    0     |    0    |  5  |
| 37 |       |                            explorer.exe                            | 57164 |      ZCS-SERVER\zybisys      |     0 %     |     41.35 %      |      58.65 %       | 22.74 MB  | 11.18 MB  |  0.11 MB  |   0 MB    |   4681   |    7    |  6  |
| 38 |       |                            dllhost.exe                             | 72020 |      ZCS-SERVER\obulesu      |     0 %     |     37.84 %      |      62.16 %       |  2.04 MB  |  4.67 MB  |  4.27 MB  |  9.88 MB  |    58    |   204   |  5  |
| 39 |       |                             ctfmon.exe                             | 69992 |      ZCS-SERVER\obulesu      |     0 %     |     31.25 %      |      68.75 %       |  2.01 MB  |  3.86 MB  |   0 MB    |   0 MB    |    0     |    0    |  9  |
| 40 |       |                             csrss.exe                              | 52776 |     NT AUTHORITY\SYSTEM      |     0 %     |      2.48 %      |      97.52 %       |  1.2 MB   |  2.65 MB  |  0.96 MB  |   0 MB    |   9779   |    0    | 12  |
| 41 |       |                            conhost.exe                             | 36580 |     NT AUTHORITY\SYSTEM      |     0 %     |     50.68 %      |      49.32 %       |  0.91 MB  |  7.16 MB  |   0 MB    |   0 MB    |    0     |    0    |  4  |
| 42 |       |                             chrome.exe                             | 64248 |      ZCS-SERVER\obulesu      |     0 %     |     73.42 %      |      26.58 %       |  9.09 MB  | 24.58 MB  | 10.26 MB  | 69.51 MB  |  95082   |  94991  | 15  |
| 43 |       |                             avpui.exe                              | 72116 |      ZCS-SERVER\obulesu      |     0 %     |     86.72 %      |      13.28 %       |  4.83 MB  | 10.06 MB  |  0.89 MB  |   0 MB    |    18    |    0    | 10  |
| 44 |       |                             avpsus.exe                             | 5000  |     NT AUTHORITY\SYSTEM      |     0 %     |     63.57 %      |      36.43 %       |  2.21 MB  |  9.4 MB   | 115.95 MB |  1.19 MB  |  10452   |   581   | 11  |
| 45 |       | WindowsInternal.ComposableShell.Experiences.TextInput.InputApp.exe | 11368 |      ZCS-SERVER\zybisys      |     0 %     |     58.78 %      |      41.22 %       |  16.3 MB  | 15.09 MB  |   0 MB    |   0 MB    |    2     |    0    | 18  |
| 46 |       |                         VGAuthService.exe                          | 3196  |     NT AUTHORITY\SYSTEM      |     0 %     |     33.33 %      |      66.67 %       |  1.3 MB   |  3.33 MB  |  0.03 MB  |   0 MB    |    25    |   22    |  2  |
| 47 |       |                      ShellExperienceHost.exe                       | 70808 |      ZCS-SERVER\obulesu      |     0 %     |      62.5 %      |       37.5 %       | 41.51 MB  | 27.63 MB  |  0.02 MB  |  0.02 MB  |    9     |   249   | 22  |
| 48 |       |                         ServerManager.exe                          | 60796 |      ZCS-SERVER\obulesu      |     0 %     |     71.59 %      |      28.41 %       | 36.38 MB  |  91.1 MB  |  0.82 MB  |  0.01 MB  |   256    |   51    |  7  |
| 49 |       |                            SearchUI.exe                            | 68224 |       ZCS-SERVER\test        |     0 %     |     64.38 %      |      35.62 %       |  4.33 MB  | 19.12 MB  | 34.82 MB  | 11.91 MB  |   9005   |  2378   | 11  |
| 50 |       |                         RuntimeBroker.exe                          | 70948 |      ZCS-SERVER\obulesu      |     0 %     |     67.48 %      |      32.52 %       |  2.32 MB  |  4.47 MB  |   0 MB    |   0 MB    |    1     |    0    |  3  |
| 51 |       |                              Registry                              |  104  |     NT AUTHORITY\SYSTEM      |     0 %     |       0 %        |       100 %        | 159.66 MB |  0.59 MB  |   0 MB    |  1.89 GB  |    4     | 250017  |  4  |
| 52 |       |                         MusNotifyIcon.exe                          | 10736 |      ZCS-SERVER\zybisys      |     0 %     |       0 %        |       100 %        |  4.5 MB   |  2.01 MB  |   0 MB    |   0 MB    |    0     |    0    |  2  |
| 53 |       |                            LogonUI.exe                             | 63844 |     NT AUTHORITY\SYSTEM      |     0 %     |      80.3 %      |       19.7 %       |  3.17 MB  |  7.29 MB  |   0 MB    |   0 MB    |    0     |    0    |  5  |
+----+-------+--------------------------------------------------------------------+-------+------------------------------+-------------+------------------+--------------------+-----------+-----------+-----------+-----------+----------+---------+-----+
