+-----+---------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------+------------+---------+-------+------+
| 22  | 2024-10-08 10:52:57 |                                      124.153.95.78 - - [08/Oct/2024:10:52:57 +0530] "POST /api/v1/agent-config HTTP/1.1" 500 37 "-" "Go-http-client/1.1" "-"                                       | ubuntu-server | accesslog  |    -    |  500  | POST |
| 23  | 2024-10-08 10:52:44 |                                     10.192.1.2 - - [08/Oct/2024:10:52:44 +0530] "POST /api/v1/vm-performance-row HTTP/1.1" 202 59 "-" "Go-http-client/1.1" "-"                                     | ubuntu-server | accesslog  |    -    |   -   | POST |
| 24  | 2024-10-08 10:52:34 |                                  180.179.176.101 - - [08/Oct/2024:10:52:34 +0530] "POST /api/v1/vm-performance-row HTTP/1.1" 202 59 "-" "Go-http-client/1.1" "-"                                   | ubuntu-server | accesslog  |    -    |   -   | POST |
| 25  | 2024-10-08 10:52:20 |                                        10.192.1.2 - - [08/Oct/2024:10:52:20 +0530] "POST /api/v1/agent-config HTTP/1.1" 500 37 "-" "Go-http-client/1.1" "-"                                        | ubuntu-server | accesslog  |    -    |  500  | POST |
| 26  | 2024-10-08 10:52:20 |                                        10.192.1.2 - - [08/Oct/2024:10:52:20 +0530] "POST /api/v1/agent-config HTTP/1.1" 500 37 "-" "Go-http-client/1.1" "-"                                        | ubuntu-server | accesslog  |    -    |  500  | POST |
| 27  | 2024-10-08 10:52:01 |                                     10.192.1.2 - - [08/Oct/2024:10:52:01 +0530] "POST /api/v1/vm-performance-row HTTP/1.1" 202 59 "-" "Go-http-client/1.1" "-"                                     | ubuntu-server | accesslog  |    -    |   -   | POST |
| 28  | 2024-10-08 10:52:01 |                                   124.153.95.78 - - [08/Oct/2024:10:52:01 +0530] "POST /api/v1/vm-performance-row HTTP/1.1" 202 59 "-" "Go-http-client/1.1" "-"                                    | ubuntu-server | accesslog  |    -    |   -   | POST |
| 29  | 2024-10-08 10:51:51 |                                     180.179.176.101 - - [08/Oct/2024:10:51:51 +0530] "POST /api/v1/agent-config HTTP/1.1" 500 37 "-" "Go-http-client/1.1" "-"                                      | ubuntu-server | accesslog  |    -    |  500  | POST |
| 30  | 2024-10-08 10:51:51 |                                     180.179.176.101 - - [08/Oct/2024:10:51:51 +0530] "POST /api/v1/agent-config HTTP/1.1" 500 37 "-" "Go-http-client/1.1" "-"                                      | ubuntu-server | accesslog  |    -    |  500  | POST |
| 31  | 2024-10-08 10:51:45 |                                     10.192.1.2 - - [08/Oct/2024:10:51:45 +0530] "POST /api/v1/vm-performance-row HTTP/1.1" 202 59 "-" "Go-http-client/1.1" "-"                                     | ubuntu-server | accesslog  |    -    |   -   | POST |
