+----+-------+--------------------------------------------------------------------+-------+------------------------------+-------------+------------------+--------------------+----------+-----------+-----------+-----------+----------+---------+-----+
|    | Color |                            Process Name                            |  Id   |             User             | Cpu Percent | Cpu User Percent | Cpu System Percent |          |           |           |           |          |         |     |
| 27 |       |                          fontdrvhost.exe                           | 32544 |   Font Driver Host\UMFD-7    |     0 %     |     64.71 %      |      35.29 %       | 0.65 MB  |  3.76 MB  |   0 MB    |   0 MB    |    0     |    0    |  5  |
| 28 |       |                           fluent-bit.exe                           | 28004 |     NT AUTHORITY\SYSTEM      |   0.26 %    |     25.46 %      |      74.54 %       | 22.02 MB | 13.36 MB  |  0.01 MB  |   0 MB    |    3     |   47    | 25  |
| 29 |       |                            explorer.exe                            | 57164 |      ZCS-SERVER\zybisys      |     0 %     |     41.35 %      |      58.65 %       | 22.73 MB | 11.19 MB  |  0.11 MB  |   0 MB    |   4681   |    7    |  6  |
| 30 |       |                              dwm.exe                               | 67276 |     Window Manager\DWM-7     |   0.01 %    |     42.65 %      |      57.35 %       | 6.09 MB  | 21.59 MB  |   0 MB    |   0 MB    |    1     |    0    | 12  |
| 31 |       |                            dllhost.exe                             | 72020 |      ZCS-SERVER\obulesu      |     0 %     |     37.84 %      |      62.16 %       | 2.04 MB  |  4.67 MB  |  4.27 MB  |  9.88 MB  |    58    |   204   |  5  |
| 32 |       |                             ctfmon.exe                             | 69992 |      ZCS-SERVER\obulesu      |     0 %     |     31.25 %      |      68.75 %       | 2.01 MB  |  3.86 MB  |   0 MB    |   0 MB    |    0     |    0    |  9  |
| 33 |       |                             csrss.exe                              | 52776 |     NT AUTHORITY\SYSTEM      |     0 %     |      2.48 %      |      97.52 %       |  1.2 MB  |  2.65 MB  |  0.96 MB  |   0 MB    |   9779   |    0    | 12  |
| 34 |       |                       credentials-plugin.exe                       | 14780 |     NT AUTHORITY\SYSTEM      |   0.01 %    |     70.82 %      |      29.18 %       | 10.62 MB | 19.08 MB  |  0.01 MB  |  9.2 MB   |    12    |  69150  |  8  |
| 35 |       |                            conhost.exe                             | 36580 |     NT AUTHORITY\SYSTEM      |     0 %     |     50.68 %      |      49.32 %       | 0.91 MB  |  7.16 MB  |   0 MB    |   0 MB    |    0     |    0    |  4  |
| 36 |       |                             chrome.exe                             | 64248 |      ZCS-SERVER\obulesu      |     0 %     |     73.42 %      |      26.58 %       | 9.09 MB  | 24.58 MB  | 10.26 MB  |  69.5 MB  |  95064   |  94973  | 15  |
